[LAYER A][C01] TRIGGER: input mã hóa thời gian/token; cùng đại lượng được so sánh hoặc cập nhật nhiều lần. — Viết FULL_CODE từ trắng.	<b>Parse → canonical representation</b><br><pre><code>function toSeconds(text) {<br>  const [mm, ss] = text.split(":").map(Number);<br>  return mm * 60 + ss;<br>}<br><br>function toTime(total) {<br>  const mm = String(Math.floor(total / 60)).padStart(2, "0");<br>  const ss = String(total % 60).padStart(2, "0");<br>  return `${mm}:${ss}`;<br>}</code></pre>Invariant: logic chính chỉ dùng representation canonical. `O(1)` mỗi token.	layer=A priority=P0 core=C01 card_type=FULL_CODE provenance=CORE C01::FULL_CODE
[LAYER A][C02] TRIGGER: đề hỏi các đoạn liên tiếp maximal hoặc cần flush đoạn cuối. — Viết FULL_CODE từ trắng.	<b>Linear run/chunk scan</b><br><pre><code>function scanRuns(a, visit) {<br>  for (let start = 0; start &lt; a.length; ) {<br>    let end = start + 1;<br>    while (end &lt; a.length &amp;&amp; a[end] === a[start]) end++;<br>    visit(a[start], start, end);<br>    start = end;<br>  }<br>}</code></pre>Invariant: `[0,start)` đã xử lý; `start` là đầu run tiếp theo. `O(n)`.	layer=A priority=P0 core=C02 card_type=FULL_CODE provenance=CORE C02::FULL_CODE
[LAYER A][C03] TRIGGER: cần multiplicity, add/remove hoặc so sánh composition. — Viết FULL_CODE từ trắng.	<b>Frequency Map / multiset</b><br><pre><code>function addCount(freq, key, delta) {<br>  const next = (freq.get(key) ?? 0) + delta;<br>  if (next === 0) freq.delete(key);<br>  else freq.set(key, next);<br>}<br><br>function buildFrequency(items) {<br>  const freq = new Map();<br>  for (const item of items) addCount(freq, item, 1);<br>  return freq;<br>}</code></pre>Invariant: Map chứa đúng count hiện tại; không có key count 0. `O(n)` expected.	layer=A priority=P0 core=C03 card_type=FULL_CODE provenance=CORE C03::FULL_CODE
[LAYER A][C04] TRIGGER: cần tạo order toàn cục; contract có tie-break. — Viết FULL_CODE từ trắng.	<b>Sort + comparator nhiều khóa</b><br><pre><code>function sortRecords(records) {<br>  return [...records].sort((a, b) =&gt; {<br>    if (a.priority !== b.priority) return a.priority - b.priority;<br>    if (a.arrival !== b.arrival) return a.arrival - b.arrival;<br>    return a.id - b.id;<br>  });<br>}</code></pre>Invariant: comparator xét khóa theo đúng thứ tự contract. `O(n log n)`.	layer=A priority=P0 core=C04 card_type=FULL_CODE provenance=CORE C04::FULL_CODE
[LAYER A][C05] TRIGGER: hai đầu/cặp; array sort; thay đổi một pointer loại được một miền ứng viên. — Viết FULL_CODE từ trắng.	<b>Two pointers trên array đã sort</b><br><pre><code>function findPair(sorted, target) {<br>  let left = 0, right = sorted.length - 1;<br>  while (left &lt; right) {<br>    const sum = sorted[left] + sorted[right];<br>    if (sum === target) return [left, right];<br>    if (sum &lt; target) left++;<br>    else right--;<br>  }<br>  return null;<br>}</code></pre>Invariant: mọi cặp ngoài `[left,right]` đã bị loại có chứng minh. `O(n)` sau sort.	layer=A priority=P0 core=C05 card_type=FULL_CODE provenance=CORE C05::FULL_CODE
[LAYER A][C06] TRIGGER: đoạn liên tiếp; right mở rộng, left chỉ tăng; cần longest/shortest với constraint cửa sổ. — Viết FULL_CODE từ trắng.	<b>Variable sliding window + frequency</b><br><pre><code>function longestAtMostKDistinct(a, k) {<br>  const freq = new Map();<br>  let left = 0, best = 0;<br>  for (let right = 0; right &lt; a.length; right++) {<br>    addCount(freq, a[right], 1);<br>    while (freq.size &gt; k) {<br>      addCount(freq, a[left], -1);<br>      left++;<br>    }<br>    best = Math.max(best, right - left + 1);<br>  }<br>  return best;<br>}</code></pre>Invariant: sau shrink, `[left,right]` hợp lệ; left nhỏ nhất theo transition đã chọn. `O(n)`.	layer=A priority=P0 core=C06 card_type=FULL_CODE provenance=CORE C06::FULL_CODE
[LAYER A][C07] TRIGGER: nhiều query tổng đoạn hoặc cần biến range work thành endpoint work. — Viết FULL_CODE từ trắng.	<b>Prefix sum</b><br><pre><code>function buildPrefix(a) {<br>  const prefix = Array(a.length + 1).fill(0);<br>  for (let i = 0; i &lt; a.length; i++) {<br>    prefix[i + 1] = prefix[i] + a[i];<br>  }<br>  return prefix;<br>}<br><br>function rangeSum(prefix, left, right) {<br>  return prefix[right] - prefix[left];<br>}</code></pre>Contract đoạn là `[left,right)`. Build `O(n)`, query `O(1)`.	layer=A priority=P0 core=C07 card_type=FULL_CODE provenance=CORE C07::FULL_CODE
[LAYER A][C08] TRIGGER: phần tử đầu tiên bên trái/phải lớn/nhỏ hơn; mỗi index chờ được giải quyết. — Viết FULL_CODE từ trắng.	<b>Monotonic stack theo index</b><br><pre><code>function nextGreaterIndex(a) {<br>  const answer = Array(a.length).fill(-1);<br>  const stack = [];<br>  for (let i = 0; i &lt; a.length; i++) {<br>    while (stack.length &amp;&amp; a[stack.at(-1)] &lt; a[i]) {<br>      answer[stack.pop()] = i;<br>    }<br>    stack.push(i);<br>  }<br>  return answer;<br>}</code></pre>Invariant: stack chứa index chưa có next greater, value giảm không nghiêm ngặt. `O(n)`.	layer=A priority=P0 core=C08 card_type=FULL_CODE provenance=CORE C08::FULL_CODE
[LAYER A][C09] TRIGGER: state ban đầu + commands/events; mỗi bước có transition xác định; invalid có thể rollback. — Viết FULL_CODE từ trắng.	<b>Atomic state-machine simulation</b><br><pre><code>function simulate(initial, commands, transition, isValid) {<br>  let state = initial;<br>  for (const command of commands) {<br>    const candidate = transition(state, command);<br>    if (isValid(candidate, state, command)) state = candidate;<br>  }<br>  return state;<br>}</code></pre>Invariant: sau `i` commands, state đúng cho prefix `[0,i)`. `O(number of transitions)`.	layer=A priority=P0 core=C09 card_type=FULL_CODE provenance=CORE C09::FULL_CODE
[LAYER A][C10] TRIGGER: chọn một candidate chưa dùng cho mỗi depth; cần thử toàn bộ và restore. — Viết FULL_CODE từ trắng.	<b>Backtracking permutation/assignment</b><br><pre><code>function maximizeAssignment(score) {<br>  const used = Array(score.length).fill(false);<br>  let best = -Infinity;<br><br>  function dfs(depth, sum) {<br>    if (depth === score[0].length) {<br>      best = Math.max(best, sum);<br>      return;<br>    }<br>    for (let person = 0; person &lt; score.length; person++) {<br>      if (used[person]) continue;<br>      used[person] = true;<br>      dfs(depth + 1, sum + score[person][depth]);<br>      used[person] = false;<br>    }<br>  }<br><br>  dfs(0, 0);<br>  return best;<br>}</code></pre>Invariant: `used` đúng với path hiện tại; restore sau đúng nhánh. Worst case `O(P(n,m))`.	layer=A priority=P0 core=C10 card_type=FULL_CODE provenance=CORE C10::FULL_CODE
